t ,hm, hest, vest, Nest, dest, actualwished
26.8015, 1.058, 1.06966, 0.118277, 0.0702191, -0.000111604, 0.026, 0.0393942
26.8126, 1.095, 1.06861, 0.102876, 0.0720781, 0.00109003, 0.026, 0.0274134
26.8506, 1.063, 1.08662, 0.201892, 0.0624, -0.00682759, 0.026, 0.0984027
26.8644, 1.05, 1.08113, 0.139694, 0.0698992, -0.0014945, 0.026, 0.0492868
26.891, 1.057, 1.0693, 0.0347283, 0.0814618, 0.00674256, 0.026, -0.0292028
26.9105, 1.082, 1.06653, 0.0073082, 0.0842075, 0.00846804, 0.026, -0.0481498
26.9215, 1.059, 1.07129, 0.0311656, 0.0814912, 0.00600358, -0.0407329, -0.0289148
26.9519, 1.094, 1.06506, -0.0296107, 0.0854769, 0.00982674, -0.0407329, -0.0628506
26.9707, 0.865, 1.0728, 0.0180313, 0.079258, 0.00548323, -0.0407329, -0.0223529
27, 1.185, 1.01496, -0.380078, 0.119578, 0.0363083, -0.0407329, -0.308927
27.022, 1.017, 1.128, 0.421313, 0.0292564, -0.0317255, -0.0530556, 0.308417
27.0408, 1.11, 1.0961, 0.177231, 0.0557142, -0.0105359, -0.0530556, 0.124536
27.0692, 1.03, 1.10054, 0.200102, 0.0532092, -0.0119413, -0.0530556, 0.14161
27.0909, 1.062, 1.05564, -0.135089, 0.0877781, 0.0160984, -0.0530556, -0.103301
27.1101, 1.016, 1.05542, -0.132086, 0.0860636, 0.0151988, -0.0530556, -0.0951892
27.131, 1.09, 1.03267, -0.276998, 0.0986577, 0.0254464, -0.0337174, -0.190893
27.151, 1.012, 1.04876, -0.149896, 0.0832833, 0.0139682, -0.0337174, -0.0886664
27.1721, 1.042, 1.03093, -0.258744, 0.0931745, 0.0217487, -0.0337174, -0.162464
27.1911, 1.029, 1.02998, -0.246832, 0.090161, 0.0196459, -0.0337174, -0.146353
27.211, 1.113, 1.02471, -0.262904, 0.0901386, 0.0198397, -0.0337174, -0.151175
27.2319, 1.089, 1.0542, -0.0401859, 0.0652339, 0.00126404, -0.0442655, 0.0188717
27.2519, 1.078, 1.06647, 0.0515037, 0.0551887, -0.0056706, -0.0442655, 0.087395
27.28, 1.064, 1.07023, 0.0790803, 0.0523527, -0.00728378, -0.0442655, 0.106834
27.3, 1.023, 1.06916, 0.0734885, 0.0532198, -0.0055405, -0.0442655, 0.100283
27.3199, 1.131, 1.05255, -0.0375454, 0.0649302, 0.00408116, -0.0442655, 0.0174366
27.341, 1.084, 1.0903, 0.22919, 0.0366514, -0.016467, 0.0174366, 0.213979
27.3591, 1.106, 1.09195, 0.234015, 0.037911, -0.0155272, 0.0174366, 0.209621
27.3905, 1.036, 1.10276, 0.296416, 0.0339178, -0.0185722, 0.0174366, 0.244188
27.4016, 1.018, 1.08043, 0.126951, 0.0544254, -0.00307491, 0.0174366, 0.107465
27.4117, 1.03, 1.06875, 0.0441461, 0.063789, 0.00387134, 0.0174366, 0.0436407
27.4509, 1.074, 1.04195, -0.140819, 0.0846708, 0.0190032, 0.026, -0.0985685
27.4721, 1.114, 1.05183, -0.0641252, 0.0765682, 0.0121633, 0.026, -0.0414506
27.492, 1.169, 1.07373, 0.0883277, 0.0610415, -0.000124307, 0.026, 0.0690498
27.5219, 1.082, 1.12996, 0.460393, 0.0241381, -0.0285588, 0.026, 0.333991
27.5409, 1.1, 1.12151, 0.373344, 0.0362051, -0.0194148, 0.026, 0.257351
27.552, 1.056, 1.12118, 0.356914, 0.0392061, -0.0172011, 0.026, 0.239896
27.5789, 1.158, 1.10295, 0.204875, 0.0574448, -0.00357485, 0.026, 0.11853
27.5928, 1.041, 1.12872, 0.359561, 0.0427825, -0.0149918, 0.026, 0.226191
27.621, 1.06, 1.09242, 0.0714457, 0.0757013, 0.00961951, 0.026, 0.00334358
27.6345, 1.096, 1.08695, 0.0276242, 0.0804151, 0.0129047, 0.026, -0.0289532
27.6531, 1.119, 1.09132, 0.0454851, 0.0786286, 0.010909, -0.0151726, -0.0151726
27.6797, 1.097, 1.09711, 0.0786274, 0.0752642, 0.00808562, -0.0151726, 0.00918891
27.6999, 0.995, 1.09946, 0.0729934, 0.0750898, 0.00811818, -0.0151726, 0.00911337
27.7199, 1.074, 1.06007, -0.207435, 0.103696, 0.0298183, -0.0151726, -0.193221
27.7408, 1.109, 1.0615, -0.190693, 0.0992782, 0.0261968, -0.0151726, -0.16859
27.7608, 1.072, 1.0757, -0.088415, 0.0868249, 0.0166305, -0.0438011, -0.0854066
27.7891, 1.085, 1.07254, -0.109094, 0.0872601, 0.0173687, -0.0438011, -0.0930776
27.8097, 1.085, 1.07632, -0.0786744, 0.0815034, 0.0136234, -0.0438011, -0.0596338
27.8491, 1.077, 1.07894, -0.0563391, 0.0770239, 0.0109453, -0.0438011, -0.0342118
27.8764, 1.054, 1.07733, -0.0646655, 0.0769, 0.0112814, -0.0342118, -0.0362636
27.8873, 1.069, 1.06312, -0.155023, 0.0849622, 0.0178536, -0.0342118, -0.0969325
27.9062, 1.122, 1.06228, -0.150342, 0.0831776, 0.0167404, -0.0342118, -0.0881073
27.931, 1.049, 1.08639, 0.0271547, 0.0631854, 0.00197796, -0.0342118, 0.0480634
27.951, 1.115, 1.07283, -0.063688, 0.0724553, 0.00946094, -0.0342118, -0.0181264
27.9721, 1.11, 1.08817, 0.0475519, 0.0602152, 0.000614998, -0.0342118, 0.0657452
27.9958, 1.105, 1.09289, 0.0796292, 0.0568975, -0.00162838, 0.026, 0.0888737
28.039, 1.021, 1.10021, 0.127029, 0.053661, -0.00450842, 0.026, 0.116281
28.0519, 1.096, 1.04127, -0.285246, 0.099875, 0.0296702, 0.026, -0.199697
28.0805, 1.085, 1.06473, -0.0973729, 0.0788319, 0.0124681, 0.026, -0.0549034
28.0916, 1.016, 1.06763, -0.0739913, 0.0764833, 0.0103994, -0.0410682, -0.0379991
28.1318, 1.092, 1.02456, -0.35403, 0.10336, 0.0316358, -0.0410682, -0.233952
28.1456, 1.091, 1.03719, -0.251003, 0.0909208, 0.0223457, -0.0410682, -0.151282
28.1711, 1.09, 1.05647, -0.0954305, 0.0724421, 0.00875634, -0.0410682, -0.0280158
28.1911, 1.064, 1.06731, -0.0106756, 0.062818, 0.00198532, -0.0410682, 0.0368759
28.2063, 1.09, 1.06621, -0.0133798, 0.0628892, 0.00248349, -0.0280158, 0.0352625
28.231, 1.073, 1.07699, 0.0678604, 0.0544418, -0.00341421, -0.0280158, 0.0939666
28.251, 1.127, 1.07684, 0.0681966, 0.0548702, -0.00261749, -0.0280158, 0.091562
28.2719, 1.067, 1.09814, 0.213501, 0.0402621, -0.0131567, -0.0280158, 0.195072
28.2919, 1.08, 1.09068, 0.154172, 0.0476881, -0.00693099, -0.0280158, 0.145536
28.3178, 1.082, 1.08997, 0.145114, 0.0492791, -0.00533626, 0.026, 0.135666
28.3313, 1.087, 1.08986, 0.138456, 0.0519492, -0.00365081, 0.026, 0.122214
28.3519, 1.075, 1.09189, 0.144382, 0.0533934, -0.00296487, 0.026, 0.117726
28.3705, 1.092, 1.08946, 0.12221, 0.0568326, -0.000611478, 0.026, 0.0967126
28.3919, 1.106, 1.09389, 0.142332, 0.0566183, -0.00127232, 0.026, 0.103617
28.4031, 1.077, 1.09761, 0.162418, 0.0552571, -0.00248685, 0.026, 0.115323
28.4425, 1.07, 1.0888, 0.0795409, 0.0668095, 0.0055407, 0.026, 0.0426206
28.4604, 1.097, 1.08453, 0.0439363, 0.0711779, 0.00846713, 0.026, 0.014087
28.4901, 1.098, 1.08849, 0.0660423, 0.069321, 0.00669648, 0.026, 0.0287561
28.5011, 1.094, 1.09581, 0.103131, 0.0665347, 0.00385712, 0.026, 0.0521206
28.5398, 1.088, 1.09798, 0.0997503, 0.0682261, 0.00442573, 0.026, 0.0447824
28.5609, 1.103, 1.09542, 0.0647676, 0.0729404, 0.00731808, 0.026, 0.0154725
28.5822, 1.11, 1.09988, 0.0835794, 0.0714981, 0.00568942, 0.026, 0.0277907
28.6008, 1.078, 1.10496, 0.106699, 0.0696028, 0.00381646, 0.026, 0.0431824
28.614, 1.104, 1.09919, 0.0576143, 0.0751583, 0.00768624, 0.026, 0.00583739
28.6707, 1.046, 1.10759, 0.0829653, 0.073459, 0.00496391, 0.026, 0.0225572
28.6948, 1.074, 1.08142, -0.110502, 0.0940207, 0.0199149, 0.026, -0.119969
28.7092, 1.032, 1.07877, -0.129025, 0.0955458, 0.0206994, 0.026, -0.131293
28.7192, 1.125, 1.06616, -0.214188, 0.103859, 0.0265337, -0.035355, -0.190687
28.7595, 1.028, 1.10341, 0.0510794, 0.0710403, 0.00204225, -0.035355, 0.0268371
28.7731, 0.827, 1.09155, -0.0325069, 0.0794034, 0.00857167, -0.035355, -0.0329322
28.7851, 1.045, 1.00646, -0.610322, 0.138374, 0.0534207, -0.035355, -0.450964
28.8134, 1.054, 1.00964, -0.538854, 0.124875, 0.0428589, -0.0367153, -0.372001
28.8492, 1.125, 1.0179, -0.433202, 0.108727, 0.0305434, -0.0367153, -0.272434
28.8796, 1.068, 1.08022, 0.0525996, 0.0527103, -0.0115506, -0.0367153, 0.10613
28.8996, 1.083, 1.07668, 0.0331844, 0.0549744, -0.00911606, -0.0367153, 0.089916
28.9292, 1.073, 1.07973, 0.0595693, 0.0523751, -0.0103841, 0.026, 0.107679
28.9488, 1.068, 1.07813, 0.0533225, 0.054866, -0.00878427, 0.026, 0.0947591
28.974, 1.086, 1.07393, 0.0295058, 0.0594847, -0.00569468, 0.026, 0.0677115
29.0087, 1.151, 1.08055, 0.0783596, 0.0558895, -0.00880283, 0.026, 0.0968904
29.0288, 1.093, 1.10571, 0.247802, 0.0394991, -0.0214051, 0.026, 0.215499
29.0388, 1.05, 1.10588, 0.235911, 0.0430014, -0.018832, 0.026, 0.196865
29.0796, 1.05, 1.0717, -0.0240007, 0.0742587, 0.00453216, 0.026, -0.011657
29.1047, 1.168, 1.06262, -0.085046, 0.0809269, 0.00908165, 0.026, -0.0573385
29.1341, 1.04, 1.1262, 0.3525, 0.0354112, -0.0261552, 0.026, 0.263608
29.1441, 1.039, 1.11451, 0.262198, 0.0459047, -0.0182344, 0.026, 0.192808
29.1976, 1.112, 1.06925, -0.0815306, 0.0852065, 0.0111988, 0.026, -0.0736724
29.2109, 1.041, 1.09006, 0.0606339, 0.0699982, -0.00108582, 0.026, 0.0330931
29.2405, 1.095, 1.06443, -0.124971, 0.0900187, 0.0134662, 0.026, -0.105101
29.2505, 1.091, 1.06847, -0.0960394, 0.0867434, 0.0107275, -0.0421959, -0.0824837
29.3084, 0.93, 1.08778, 0.0398901, 0.0673591, -0.00250703, -0.0421959, 0.039596
29.3287, 1.262, 1.03835, -0.297798, 0.101819, 0.0240687, -0.0421959, -0.204992
29.3524, 1.068, 1.1132, 0.227069, 0.0448642, -0.0186546, -0.0633618, 0.189208
29.3893, 1.084, 1.09132, 0.0550485, 0.062958, -0.002832, -0.0633618, 0.0609896
29.4187, 1.151, 1.08888, 0.0346637, 0.0638659, -0.000674566, -0.0633618, 0.0503045
29.4373, 1.074, 1.12337, 0.267609, 0.0384856, -0.0184469, -0.0633618, 0.22475
29.4665, 1.09, 1.10418, 0.116224, 0.0550533, -0.00415563, 0.026, 0.109078
29.4846, 1.039, 1.10148, 0.0930571, 0.0587949, -0.00162597, 0.026, 0.0864451
29.5205, 1.135, 1.06226, -0.181437, 0.089611, 0.0209663, 0.026, -0.123944
29.5395, 1.045, 1.08518, -0.0152726, 0.07195, 0.00695444, 0.026, -0.000258164
29.5746, 1.063, 1.06118, -0.176494, 0.0895102, 0.0194348, 0.026, -0.121179
29.5869, 1.02, 1.05932, -0.182034, 0.0897882, 0.0191968, -0.0386428, -0.123646
29.6307, 1.037, 1.01593, -0.449283, 0.113361, 0.037677, -0.0386428, -0.301379
29.6688, 1.059, 1.01475, -0.42169, 0.10703, 0.0329158, -0.0386428, -0.266442
29.683, 1.077, 1.02702, -0.291001, 0.0894174, 0.0197518, -0.0386428, -0.153979
29.7066, 1.101, 1.04232, -0.156629, 0.0734161, 0.00801028, -0.0382101, -0.0476533
29.7396, 1.085, 1.07382, 0.0879639, 0.0466176, -0.0114588, -0.0382101, 0.135842
29.7595, 1.015, 1.07976, 0.132, 0.0426875, -0.0136801, -0.0382101, 0.16421
29.7893, 1.122, 1.05784, -0.0158611, 0.0589171, -0.000642967, 0.026, 0.0512602
29.8032, 1.089, 1.08602, 0.186312, 0.0394437, -0.0157917, 0.026, 0.192162
29.8375, 1.144, 1.09218, 0.222242, 0.0386991, -0.0165495, 0.026, 0.205072
29.8555, 1.029, 1.12276, 0.417965, 0.0214302, -0.0297645, 0.026, 0.334671
29.8809, 1.108, 1.08836, 0.154771, 0.0530086, -0.0058593, 0.026, 0.123598
29.8919, 1.094, 1.09375, 0.186471, 0.0505409, -0.00787794, 0.026, 0.143299
29.9313, 1.118, 1.10141, 0.214226, 0.0511347, -0.00797755, 0.026, 0.148933
29.949, 1.173, 1.10883, 0.253103, 0.0482928, -0.0103139, 0.026, 0.172424
30.0022, 1.108, 1.13569, 0.417144, 0.0329656, -0.022099, 0.026, 0.285316
30.0307, 1.126, 1.12854, 0.262089, 0.058251, -0.00321645, 0.026, 0.133384
30.0496, 1.077, 1.13261, 0.263692, 0.059324, -0.00273337, 0.026, 0.130033
30.0718, 1.039, 1.11519, 0.114359, 0.076201, 0.00961408, 0.026, 0.0159632
30.0976, 1.111, 1.08118, -0.14101, 0.103094, 0.0292189, 0.026, -0.170964
30.1076, 1.059, 1.08494, -0.116945, 0.100061, 0.0265583, -0.044033, -0.150494
30.1695, 0.992, 1.04677, -0.38897, 0.12061, 0.0428975, -0.044033, -0.314331
30.1797, 1.22, 1.03212, -0.478623, 0.128078, 0.0485426, -0.044033, -0.371729
30.2019, 1.075, 1.09594, -0.0197386, 0.0763046, 0.00939763, -0.044033, -0.0180398
30.2241, 1.091, 1.09172, -0.0490273, 0.0787751, 0.0115282, -0.0180398, -0.0370689
30.2501, 1.081, 1.08999, -0.0595481, 0.0788582, 0.0117266, -0.0180398, -0.0402888
30.2682, 1.124, 1.0853, -0.0890242, 0.0811671, 0.0135667, -0.0180398, -0.0585517
30.2885, 1.061, 1.10342, 0.0402245, 0.0665364, 0.00262012, -0.0180398, 0.0412069
30.3015, 1.108, 1.0958, -0.012843, 0.0720196, 0.00687519, -0.0180398, 0.00246331
30.3218, 1.113, 1.10088, 0.02212, 0.0679817, 0.00402459, 0.00246331, 0.0296857
30.3405, 1.042, 1.10459, 0.0462125, 0.0656942, 0.00222549, 0.00246331, 0.046424
30.3516, 1.064, 1.08858, -0.0644675, 0.0774729, 0.0110651, 0.00246331, -0.0356924
30.3887, 1.059, 1.07219, -0.169577, 0.088009, 0.0186998, 0.00246331, -0.110681
30.4156, 1.149, 1.05754, -0.249728, 0.0948731, 0.0233208, 0.00246331, -0.162639
30.4388, 1.008, 1.07585, -0.1151, 0.0801399, 0.0119596, -0.0485582, -0.060843
30.46, 1.138, 1.03331, -0.389796, 0.106461, 0.0326679, -0.0485582, -0.252837
30.479, 1.082, 1.05815, -0.199498, 0.084454, 0.0162466, -0.0485582, -0.10427
30.5106, 1.082, 1.0625, -0.154964, 0.0783887, 0.0120937, -0.0485582, -0.0659967
30.5316, 1.034, 1.07071, -0.0697313, 0.0670026, 0.00456321, -0.0485582, 0.00595439
30.5575, 1.144, 1.05935, -0.138113, 0.0736024, 0.0100394, 0.00595439, -0.0425158
30.5714, 1.054, 1.09564, 0.127962, 0.0460697, -0.0110405, 0.00595439, 0.151216
30.5826, 1.116, 1.08885, 0.0813999, 0.0517211, -0.00673565, 0.00595439, 0.113392
30.62, 1.082, 1.10675, 0.204686, 0.0408447, -0.0149264, 0.00595439, 0.194583
30.634, 1.06, 1.10095, 0.156658, 0.0479062, -0.0094471, 0.026, 0.150057
30.6605, 1.126, 1.08464, 0.0380086, 0.0627263, 0.00140677, 0.026, 0.0523995
30.679, 1.172, 1.0968, 0.120245, 0.0549835, -0.00474447, 0.026, 0.109172
30.701, 1.019, 1.13611, 0.378736, 0.0300575, -0.0239666, 0.026, 0.290017
30.7201, 1.097, 1.10932, 0.179646, 0.0528172, -0.00681201, 0.026, 0.135451
30.742, 1.062, 1.10794, 0.153662, 0.0576287, -0.00356252, 0.026, 0.107652
30.753, 1.026, 1.10051, 0.0969649, 0.0642077, 0.00122623, 0.026, 0.0634019
30.7919, 1.059, 1.04882, -0.271056, 0.104312, 0.0306817, 0.026, -0.212976
30.8031, 1.057, 1.04803, -0.269636, 0.103532, 0.0296651, 0.026, -0.208818
30.8254, 1.114, 1.04566, -0.26931, 0.102042, 0.0275513, 0.026, -0.201431
30.8511, 1.046, 1.07161, -0.0746971, 0.0803484, 0.0101493, 0.026, -0.0518927
30.8627, 1.072, 1.06549, -0.114349, 0.084466, 0.0129577, -0.036821, -0.080644
30.8933, 1.014, 1.06575, -0.103535, 0.0810114, 0.0109156, -0.036821, -0.0628666
30.9209, 0.952, 1.0359, -0.296571, 0.0992675, 0.0252347, -0.036821, -0.196616
30.9319, 1.211, 1.01711, -0.413638, 0.110274, 0.0336286, -0.036821, -0.27734
30.9519, 1.099, 1.08497, 0.0760396, 0.056418, -0.00696664, -0.036821, 0.0934969
30.9719, 1.151, 1.09177, 0.121019, 0.0518319, -0.00976802, 0.026, 0.12537
30.9978, 1.097, 1.11034, 0.243746, 0.0402992, -0.0186558, 0.026, 0.209812
31.0111, 1.155, 1.11018, 0.229106, 0.0441853, -0.0158399, 0.026, 0.18878
31.0334, 1.065, 1.13879, 0.404965, 0.0286327, -0.027782, 0.026, 0.305689
31.05, 1.13, 1.12369, 0.282293, 0.0435743, -0.0164847, 0.026, 0.206506
31.0656, 1.057, 1.12998, 0.309034, 0.0424145, -0.0174726, 0.026, 0.219249
31.0982, 1.111, 1.11935, 0.225581, 0.0521354, -0.0102001, 0.026, 0.153816
31.119, 1.124, 1.12207, 0.207487, 0.0571832, -0.00686647, 0.026, 0.127679
31.1411, 1.08, 1.12829, 0.22506, 0.0570198, -0.00735773, 0.026, 0.134056
31.1687, 1.13, 1.11817, 0.140713, 0.0667394, -0.000229895, 0.026, 0.0686914
31.1787, 1.164, 1.12664, 0.178704, 0.0636894, -0.00298477, 0.026, 0.0934417
31.2295, 1.113, 1.17234, 0.437246, 0.0392585, -0.0223223, 0.026, 0.273937
31.2534, 1.118, 1.15761, 0.296324, 0.0563361, -0.00949353, 0.026, 0.161067
31.2809, 1.111, 1.14474, 0.16548, 0.0718103, 0.00182907, 0.026, 0.0585064
31.292, 1.09, 1.13994, 0.121093, 0.0766546, 0.00527086, 0.026, 0.0255762
31.3311, 1.073, 1.10736, -0.140427, 0.104182, 0.025109, 0.026, -0.165063
31.345, 1.046, 1.09613, -0.219179, 0.111397, 0.0300043, 0.026, -0.217571
31.371, 1.056, 1.06615, -0.419636, 0.12994, 0.042911, 0.026, -0.352673
31.3859, 1.037, 1.05695, -0.469546, 0.133006, 0.0444409, 0.026, -0.379046
31.3971, 1.068, 1.04846, -0.516379, 0.136364, 0.0464423, -0.035875, -0.406179
31.4219, 1.068, 1.04463, -0.509701, 0.129937, 0.0413849, -0.035875, -0.37577
31.449, 0.852, 1.04393, -0.499903, 0.126842, 0.0390069, -0.035875, -0.359481
31.4631, 1.142, 0.916648, -1.31649, 0.205543, 0.0983311, -0.035875, -0.929917
31.4913, 1.035, 0.999615, -0.632183, 0.122801, 0.0345496, -0.035875, -0.378491
31.5051, 1.073, 1.0001, -0.594428, 0.116292, 0.0296516, -0.0356666, -0.340125
31.549, 1.068, 1.01168, -0.479513, 0.101855, 0.0188226, -0.0356666, -0.245843
31.571, 1.098, 1.04133, -0.168397, 0.0629832, -0.00986671, -0.0356666, 0.00756983
31.5859, 1.092, 1.05484, -0.0562888, 0.0510249, -0.0183758, -0.0356666, 0.0898024
31.611, 1.081, 1.07093, 0.0780619, 0.0373818, -0.027654, 0.026, 0.18476
31.6306, 1.115, 1.07494, 0.113795, 0.0353577, -0.029163, 0.026, 0.202822
31.6523, 1.164, 1.09793, 0.279976, 0.0212335, -0.0397595, 0.026, 0.309498
31.68, 1.142, 1.12078, 0.431044, 0.00791108, -0.0496587, 0.026, 0.409036
31.6982, 1.117, 1.13992, 0.541845, 0.000889796, -0.0545464, 0.026, 0.469616
31.7084, 1.108, 1.1419, 0.531302, 0.00584903, -0.0504154, 0.026, 0.444519
31.7515, 1.048, 1.13727, 0.438675, 0.0241245, -0.0358297, 0.026, 0.338167
31.77, 1.165, 1.11968, 0.299612, 0.0407065, -0.0232102, 0.026, 0.227184
31.791, 1.032, 1.14902, 0.472115, 0.0255063, -0.0347356, 0.026, 0.341744
31.8118, 1.136, 1.1129, 0.192427, 0.0576289, -0.0103547, 0.026, 0.124087
31.823, 1.091, 1.11921, 0.226359, 0.0547096, -0.0126767, 0.026, 0.146525
31.861, 1.089, 1.10723, 0.105728, 0.0698944, -0.00161087, 0.026, 0.0477831
31.8749, 1.087, 1.10397, 0.0739724, 0.073543, 0.000890331, 0.026, 0.0235189
31.9011, 1.133, 1.09753, 0.0143485, 0.0801347, 0.00533373, 0.026, -0.0208587
31.92, 1.095, 1.10759, 0.0761275, 0.0736738, 0.000109327, 0.026, 0.0250802
31.9312, 1.075, 1.10528, 0.0514532, 0.0764389, 0.00191373, 0.0250802, 0.00668568
31.969, 1.049, 1.09269, -0.0472847, 0.0868182, 0.00925336, 0.0250802, -0.0651509
31.989, 1.053, 1.06791, -0.221913, 0.104267, 0.0216848, 0.0250802, -0.188718
32.0105, 1.071, 1.05783, -0.283171, 0.109165, 0.0246743, 0.0250802, -0.226299
32.0301, 1.046, 1.05707, -0.275325, 0.106466, 0.0218245, 0.0250802, -0.211501
32.0411, 1.104, 1.0494, -0.317189, 0.109534, 0.0235792, -0.036821, -0.235995
32.0719, 1.068, 1.07192, -0.138927, 0.0862384, 0.00631354, -0.036821, -0.0847944
32.0911, 0.872, 1.06785, -0.158912, 0.0866479, 0.0070631, -0.036821, -0.0924293
32.13, 1.14, 1.02616, -0.435641, 0.114419, 0.0282656, -0.036821, -0.290752
32.1506, 1.055, 1.09995, 0.126572, 0.0489712, -0.0208504, -0.0474658, 0.150515
32.171, 1.081, 1.08127, -0.00362763, 0.0626381, -0.00919931, -0.0474658, 0.0534257
32.1921, 1.062, 1.08108, 0.000970644, 0.0615147, -0.00914284, -0.0474658, 0.0586641
32.2109, 1.06, 1.07433, -0.0394655, 0.065211, -0.00554858, -0.0474658, 0.0304322
32.2306, 1.121, 1.06971, -0.0642859, 0.06725, -0.00341342, -0.0474658, 0.0139545
32.2521, 1.164, 1.09321, 0.108593, 0.0482365, -0.0167637, 0.0139545, 0.143791
32.2806, 1.096, 1.13662, 0.402744, 0.0199287, -0.0380642, 0.0139545, 0.348499
32.3097, 1.063, 1.12608, 0.301483, 0.0348638, -0.0262639, 0.0139545, 0.254569
32.3197, 1.064, 1.11822, 0.240726, 0.04216, -0.0206751, 0.0139545, 0.205766
32.3639, 1.034, 1.08394, -0.0213479, 0.0733839, 0.00311267, 0.026, -0.00354972
32.3906, 1.115, 1.06603, -0.141995, 0.086236, 0.0124036, 0.026, -0.092868
32.409, 1.072, 1.0833, -0.0158514, 0.0727407, 0.00157775, 0.026, 0.00152683
32.423, 1.067, 1.07906, -0.0441889, 0.0760235, 0.00366985, 0.026, -0.0203854
32.451, 1.075, 1.07146, -0.0928366, 0.081324, 0.00704369, 0.026, -0.0565666
32.4611, 1.093, 1.07119, -0.0920792, 0.0811794, 0.00667382, -0.0399563, -0.0555345
32.5028, 1.023, 1.08389, 0.0038945, 0.0683454, -0.00201191, -0.0399563, 0.026514
32.5209, 0.981, 1.06126, -0.148717, 0.0834778, 0.0100354, -0.0399563, -0.0824284
32.549, 1.08, 1.02642, -0.373058, 0.105147, 0.0268632, -0.0399563, -0.23983
32.5628, 1.016, 1.03746, -0.275119, 0.0926138, 0.0175753, -0.0405102, -0.158275
32.5906, 1.098, 1.02246, -0.352493, 0.0983836, 0.0223118, -0.0405102, -0.205603
32.609, 1.148, 1.04334, -0.18338, 0.0785287, 0.00759454, -0.0405102, -0.0725753
32.6301, 1.166, 1.08269, 0.104074, 0.0473058, -0.0154236, -0.0405102, 0.142689
32.6552, 1.089, 1.1254, 0.394922, 0.0177247, -0.0366722, -0.0405102, 0.35136
32.6729, 1.082, 1.1188, 0.329735, 0.02691, -0.0284192, 0.026, 0.291928
32.6916, 1.134, 1.1113, 0.263014, 0.0369124, -0.0208326, 0.026, 0.229479
32.7119, 1.054, 1.12529, 0.344487, 0.0309231, -0.0254318, 0.026, 0.278194
32.7377, 1.068, 1.11036, 0.228292, 0.0450513, -0.0147754, 0.026, 0.184243
32.7517, 1.094, 1.09621, 0.115201, 0.0592548, -0.00426602, 0.026, 0.0910102
32.7777, 1.056, 1.09734, 0.116522, 0.0600356, -0.00392775, 0.026, 0.0882089
32.7915, 1.036, 1.08109, -0.00448817, 0.0740081, 0.00620901, 0.026, -0.00597582
32.8119, 1.151, 1.06366, -0.124584, 0.0868524, 0.0154069, 0.026, -0.0949417
32.84, 1.092, 1.07912, -0.0170223, 0.0755115, 0.00653009, 0.026, -0.015281
32.8609, 1.094, 1.08633, 0.0296465, 0.071103, 0.00241919, 0.026, 0.0176812
32.8719, 1.061, 1.08933, 0.0459617, 0.0698415, 0.0010977, 0.0176812, 0.0281201
32.911, 1.148, 1.06989, -0.0976393, 0.0855385, 0.01238, 0.0176812, -0.0795324
32.93, 1.062, 1.08902, 0.0338661, 0.0715549, 0.00151066, 0.0176812, 0.0183816
32.9411, 1.046, 1.08162, -0.020539, 0.0774245, 0.00571517, 0.0176812, -0.0220438
32.9707, 1.044, 1.06083, -0.164559, 0.0923084, 0.0164178, -0.0220438, -0.126382
32.991, 0.968, 1.05107, -0.223295, 0.0967118, 0.0198271, -0.0220438, -0.161851
33.0118, 1.151, 1.01339, -0.465612, 0.119845, 0.0373216, -0.0220438, -0.330144
33.031, 1.027, 1.05415, -0.161532, 0.0852238, 0.0109714, -0.0220438, -0.0944959
33.0686, 1.113, 1.04681, -0.2049, 0.0890229, 0.0139297, -0.0220438, -0.123263
33.0805, 1.078, 1.08849, 0.107098, 0.0536476, -0.0125239, -0.0442655, 0.11734
33.1006, 1.144, 1.08667, 0.0914267, 0.0552915, -0.0104256, -0.0442655, 0.105059
33.12, 1.143, 1.10952, 0.243802, 0.0394218, -0.0215983, -0.0442655, 0.21596
33.1397, 1.101, 1.12671, 0.348194, 0.0294109, -0.028177, -0.0442655, 0.287891
33.1497, 1.111, 1.12552, 0.331627, 0.0317458, -0.0259389, 0.026, 0.272754
33.1841, 1.116, 1.12759, 0.31185, 0.038622, -0.0207509, 0.026, 0.23721
33.2142, 1.122, 1.1304, 0.299517, 0.0433953, -0.0172675, 0.026, 0.213267
33.2487, 1.076, 1.13298, 0.296546, 0.0455868, -0.0157339, 0.026, 0.203221
33.2667, 1.087, 1.10655, 0.0777223, 0.0715967, 0.00363283, 0.026, 0.0296703
33.2777, 1.056, 1.10384, 0.05401, 0.0742911, 0.0054576, 0.026, 0.0116487
33.3152, 1.048, 1.07507, -0.157816, 0.0968653, 0.0216891, 0.026, -0.144525
33.3306, 1.116, 1.06116, -0.248556, 0.105328, 0.0273265, 0.026, -0.205818
33.3607, 1.035, 1.08489, -0.0729211, 0.0849809, 0.0107541, 0.026, -0.0669673
33.3742, 1.05, 1.07128, -0.165154, 0.094351, 0.0174534, 0.026, -0.133075
33.3842, 1.023, 1.06613, -0.197265, 0.0973077, 0.0193868, -0.0372456, -0.154607
33.4495, 1.097, 0.999167, -0.623112, 0.134006, 0.047977, -0.0372456, -0.433152
