t ,hm, hest, vest, Nest, dest, actualwished
1.72591, -0.002, -0.000504532, 0.0453435, 0.0637351, 0.00903219, -0.0127438, -0.200134
1.75097, -0.003, -7.63183e-05, 0.0403541, 0.0641371, 0.00940551, -0.0127438, -0.203057
1.77084, 0.014, -0.00036804, 0.0325331, 0.0648369, 0.00998346, -0.0127438, -0.208115
1.79089, 0.004, 0.00576551, 0.0686881, 0.0609321, 0.00707853, -0.0127438, -0.180851
1.81193, 0.005, 0.00651004, 0.065771, 0.0613048, 0.00744976, -0.0122692, -0.183133
1.831, 0.014, 0.00721902, 0.0635189, 0.0615935, 0.00773673, -0.0122692, -0.184868
1.86992, 0.006, 0.00984612, 0.0762931, 0.0602976, 0.0068057, -0.0122692, -0.17555
1.89107, -0.02, 0.0100216, 0.0586185, 0.0624019, 0.00858453, -0.0122692, -0.189279
1.91091, 0.007, -0.000125201, -0.0172799, 0.0702847, 0.0145894, -0.0137234, -0.244599
1.93071, 0.01, 0.00217339, -0.00391706, 0.0684474, 0.01319, -0.0137234, -0.232673
1.95037, -0.004, 0.00433694, 0.00861995, 0.0668771, 0.0120109, -0.0137234, -0.222206
1.9807, -0.016, -0.00106173, -0.0341966, 0.0708299, 0.0150411, -0.0137234, -0.251082
2.00613, 0.003, -0.00703919, -0.0749859, 0.0746015, 0.0178688, -0.0137234, -0.278741
2.03066, 0.009, -0.00348844, -0.0468394, 0.0705964, 0.0147488, -0.0134747, -0.253216
2.05265, -0.008, 0.000649491, -0.0171304, 0.0669932, 0.0120084, -0.0134747, -0.229143
2.07975, -0.028, -0.00421519, -0.0501397, 0.070048, 0.0143437, -0.0134747, -0.251589
2.1096, -0.008, -0.0191378, -0.147688, 0.0795083, 0.0214639, -0.0142283, -0.319929
2.13881, 0, -0.0181544, -0.133815, 0.0772916, 0.0197047, -0.0142283, -0.306365
2.17001, -0.003, -0.0127628, -0.0859814, 0.0712099, 0.0150078, -0.0142283, -0.266526
2.19117, 0.006, -0.00898258, -0.0480691, 0.0662526, 0.0112438, -0.0142283, -0.234491
2.211, -0.035, -0.00433631, -0.0120396, 0.0622576, 0.00827333, -0.0121521, -0.207175
2.23188, 0.013, -0.0166878, -0.0931471, 0.0706813, 0.0146922, -0.0121521, -0.26663
2.25261, -0.034, -0.0072619, -0.0215339, 0.062784, 0.00869314, -0.0121521, -0.212364
2.27782, -0.031, -0.0149065, -0.070871, 0.067887, 0.0125825, -0.0121521, -0.248464
2.30083, -0.039, -0.0276892, -0.146227, 0.0751853, 0.0180795, -0.0121521, -0.301496
2.31906, 0.001, -0.0327199, -0.172033, 0.0773658, 0.0196626, -0.0149391, -0.318277
2.34007, -0.006, -0.0242826, -0.102319, 0.0693202, 0.0135256, -0.0149391, -0.263942
2.36006, -0.014, -0.0191566, -0.0572122, 0.0641657, 0.00965788, -0.0149391, -0.22916
2.38004, 0.001, -0.0183224, -0.0440502, 0.0626303, 0.00858227, -0.0149391, -0.219091
2.40102, -0.007, -0.010001, 0.0206981, 0.0558111, 0.00356037, -0.0149391, -0.17171
2.42101, -0.031, -0.00845791, 0.0334563, 0.0547897, 0.00296104, -0.0129244, -0.164027
2.44209, -0.011, -0.0167307, -0.0212226, 0.0608912, 0.00772486, -0.0129244, -0.20616
2.46178, -0.011, -0.0150073, -0.00504127, 0.0592804, 0.00658703, -0.0129244, -0.194875
2.47812, -0.024, -0.01378, 0.00626619, 0.0582457, 0.00588941, -0.0129244, -0.187432
2.51183, -0.008, -0.0198404, -0.030532, 0.0624201, 0.00921255, -0.0129244, -0.216276
2.54113, 0.005, -0.0142323, 0.0143792, 0.0577453, 0.00576594, -0.0129849, -0.183698
2.55236, -0.011, -0.010395, 0.0413078, 0.0550774, 0.0038079, -0.0129849, -0.164686
2.57545, 0.006, -0.00966901, 0.046238, 0.0550492, 0.00395479, -0.0129849, -0.163477
2.60085, -0.026, -0.00100162, 0.104133, 0.0495523, -2.09103e-05, -0.0129849, -0.123663
2.61212, 0.003, -0.00473048, 0.0764712, 0.0527848, 0.00251842, -0.0129849, -0.145566
2.63188, -0.035, -8.82511e-05, 0.104583, 0.0504261, 0.000903295, -0.0129849, -0.127647
2.65651, 0.001, -0.00770003, 0.0493286, 0.0566214, 0.00570436, -0.0146784, -0.170157
2.67511, 0.003, -0.0014155, 0.0887929, 0.052961, 0.00314133, -0.0146784, -0.143414
